geoid,geoid20,year,denom_total_hh,denom_youth_hh,avg_hh_size,youth_singleparenthh_count,youth_singleparenthh_pct,families_children_count,families_children_pct,living_alone_count,living_alone_pct,same_sex_count,same_sex_pct,opp_sex_count,opp_sex_pct
1400000US06037101110,6037101110,2021,1639,567,2.54,92,16.22575,331,22.155289,615.52802,41.200001,0,0,778,47.467968
1400000US06037101122,6037101122,2021,1426,686,3.0899999,176,25.655977,249,18.148687,625.63196,45.599998,25,1.7531557,757,53.085552
1400000US06037101220,6037101220,2021,1399,645,2.6400001,85,13.178294,296,21.812822,378.603,27.9,0,0,771,55.110794
1400000US06037101221,6037101221,2021,1556,645,2.52,167,25.891474,338,23.310345,439.34998,30.299999,0,0,782,50.257069
1400000US06037101222,6037101222,2021,994,517,2.8800001,110,21.276596,286,30.588236,276.76001,29.6,0,0,630,63.380283
1400000US06037101300,6037101300,2021,1517,716,2.8399999,182,25.418995,375,26.408451,683.01996,48.099998,19,1.252472,859,56.624916
1400000US06037101400,6037101400,2021,1543,528,2.5699999,142,26.89394,354,27.14724,430.32001,33,0,0,719,46.597538
1400000US06037102103,6037102103,2021,781,467,2.6400001,53,11.349036,215,32.13752,151.194,22.6,4,.51216388,323,41.357235
1400000US06037102104,6037102104,2021,1373,761,2.8800001,312,40.998688,343,26.183207,548.89001,41.900002,0,0,710,51.711582
1400000US06037102105,6037102105,2021,571,353,3.02,68,19.263456,150,27.075811,146.256,26.4,16,2.8021016,319,55.866901
1400000US06037102107,6037102107,2021,1238,597,3.0599999,230,38.525963,259,21.511627,479.19199,39.799999,0,0,637,51.453957
1400000US06037103101,6037103101,2021,977,396,2.7,70,17.676767,230,25.136612,269.01001,29.4,0,0,547,55.987717
1400000US06037103102,6037103102,2021,1713,734,2.8399999,94,12.80654,378,22.895214,605.91699,36.700001,6,.3502627,871,50.84647
1400000US06037103201,6037103201,2021,1611,663,2.5699999,107,16.138763,249,16.274509,478.88998,31.299999,0,0,646,40.099316
1400000US06037103202,6037103202,2021,700,326,3.1400001,120,36.809814,103,15.606061,419.75998,63.599998,10,1.4285715,461,65.85714
1400000US06037103300,6037103300,2021,1381,945,3.1800001,120,12.698413,321,26.683292,588.26703,48.900002,0,0,782,56.625633
1400000US06037103401,6037103401,2021,1072,404,2.6600001,30,7.4257426,227,22.975708,451.51602,45.700001,0,0,518,48.320896
1400000US06037103402,6037103402,2021,1519,717,2.8,26,3.6262205,304,22.157434,374.556,27.299999,0,0,779,51.283741
1400000US06037104103,6037104103,2021,891,826,4.73,69,8.3535109,325,37.52887,373.24597,43.099998,0,0,625,70.145905
1400000US06037104105,6037104105,2021,1591,1599,3.79,543,33.958725,620,40.629097,489.84598,32.099998,0,0,845,53.111252
1400000US06037104108,6037104108,2021,1342,1315,3.99,517,39.31559,429,33.307453,409.58398,31.799999,0,0,657,48.956779
1400000US06037104124,6037104124,2021,1371,662,2.8299999,134,20.241692,278,21.701796,470.12701,36.700001,16,1.1670314,698,50.911743
1400000US06037104201,6037104201,2021,916,1003,5.02,352,35.094715,151,16.484716,453.42001,49.5,0,0,489,53.384281
1400000US06037104203,6037104203,2021,1145,1448,4.5999999,228,15.745856,543,48.266666,339.75,30.200001,0,0,802,70.043671
1400000US06037104204,6037104204,2021,761,923,4.6599998,203,21.9935,370,50.615597,179.095,24.5,0,0,493,64.78318
1400000US06037104310,6037104310,2021,971,1150,5.1799998,218,18.956522,320,33.970276,328.75803,34.900002,0,0,620,63.8517
1400000US06037104321,6037104321,2021,960,558,3.3699999,10,1.7921147,290,31.385281,401.01602,43.400002,0,0,457,47.604168
1400000US06037104322,6037104322,2021,473,372,3.96,36,9.6774197,122,25.792812,121.08801,25.6,9,1.9027485,351,74.207191
1400000US06037104401,6037104401,2021,662,910,4.9699998,87,9.5604391,173,28.038898,199.908,32.400002,0,0,440,66.465256
1400000US06037104403,6037104403,2021,648,534,4.71,135,25.280899,125,21.626297,320.21201,55.400002,0,0,319,49.228394
1400000US06037104404,6037104404,2021,763,918,4.5799999,157,17.102396,286,38.389263,259.25998,34.799999,0,0,449,58.846657
1400000US06037104500,6037104500,2021,643,920,4.98,52,5.652174,213,34.025558,227.86401,36.400002,0,0,401,62.363918
1400000US06037104610,6037104610,2021,737,900,4.8099999,236,26.222221,225,33.088234,284.92001,41.900002,9,1.2211668,440,59.701492
1400000US06037104620,6037104620,2021,702,772,4.96,139,18.005182,223,31.766382,242.89198,34.599998,0,0,530,75.498573
1400000US06037104701,6037104701,2021,919,1185,4.3699999,432,36.455696,352,40.413319,218.621,25.1,0,0,457,49.727966
1400000US06037104703,6037104703,2021,670,713,4.1300001,195,27.349228,263,45.898777,132.936,23.200001,0,0,335,50
1400000US06037104704,6037104704,2021,1272,1475,3.71,660,44.745762,453,37.468983,377.20801,31.200001,14,1.100629,589,46.305031
1400000US06037104821,6037104821,2021,753,911,4.9099998,351,38.529087,231,32.262569,247.02,34.5,0,0,403,53.519257
